student_id,attendance,assignment,quiz,exam,result
S0001,78,55,69,48,Pass
S0002,91,79,97,28,Pass
S0003,68,54,94,86,Pass
S0004,54,53,28,44,Fail
S0005,82,42,53,95,Pass
S0006,47,89,95,61,Pass
S0007,100,36,54,28,Pass
S0008,60,86,20,98,Pass
S0009,78,65,59,59,Pass
S0010,97,74,83,44,Pass
S0011,58,49,41,24,Fail
S0012,62,94,79,30,Pass
S0013,50,37,83,78,Pass
S0014,50,45,91,98,Pass
S0015,63,43,30,57,Fail
S0016,92,44,33,91,Pass
S0017,75,95,79,24,Pass
S0018,79,61,49,67,Pass
S0019,63,92,54,37,Pass
S0020,42,80,56,89,Pass
S0021,61,54,24,56,Pass
S0022,92,87,97,79,Pass
S0023,41,92,45,67,Pass
S0024,63,91,81,96,Pass
S0025,83,51,23,47,Fail
S0026,69,87,61,88,Pass
S0027,77,87,37,96,Pass
S0028,41,78,59,100,Pass
S0029,99,81,91,59,Pass
S0030,60,71,58,64,Pass
S0031,72,99,33,81,Pass
S0032,51,44,51,77,Pass
S0033,97,83,70,86,Pass
S0034,61,89,57,75,Pass
S0035,100,37,42,59,Pass
S0036,83,82,82,59,Pass
S0037,64,89,34,96,Pass
S0038,88,34,44,52,Fail
S0039,66,97,36,25,Pass
S0040,98,35,85,38,Pass
S0041,81,76,97,99,Pass
S0042,67,84,72,59,Pass
S0043,99,69,70,78,Pass
S0044,55,81,58,78,Pass
S0045,54,45,70,67,Pass
S0046,86,42,89,60,Pass
S0047,90,59,25,32,Fail
S0048,83,48,86,64,Pass
S0049,94,46,26,72,Pass
S0050,91,92,70,61,Pass
S0051,96,48,91,82,Pass
S0052,42,87,61,46,Pass
S0053,76,84,83,57,Pass
S0054,90,91,34,79,Pass
S0055,46,52,48,26,Fail
S0056,60,38,52,24,Fail
S0057,48,41,46,64,Fail
S0058,78,30,55,77,Pass
S0059,57,87,48,50,Pass
S0060,43,30,57,42,Fail
S0061,64,63,76,61,Pass
S0062,99,77,46,29,Fail
S0063,53,30,74,51,Fail
S0064,89,45,52,72,Pass
S0065,97,90,87,49,Pass
S0066,48,93,85,58,Pass
S0067,65,92,29,50,Pass
S0068,92,98,24,21,Pass
S0069,41,51,93,97,Pass
S0070,59,96,57,96,Pass
S0071,67,55,32,31,Fail
S0072,86,45,50,58,Pass
S0073,99,80,66,85,Pass
S0074,46,86,71,32,Pass
S0075,83,58,75,65,Pass
S0076,100,98,34,46,Pass
S0077,47,76,48,36,Pass
S0078,86,91,27,79,Pass
S0079,74,98,24,83,Pass
S0080,53,45,48,54,Pass
S0081,56,77,66,89,Pass
S0082,75,68,87,49,Pass
S0083,89,62,95,90,Pass
S0084,79,52,64,93,Pass
S0085,43,39,21,82,Fail
S0086,41,98,46,47,Pass
S0087,45,63,55,79,Pass
S0088,93,81,55,98,Pass
S0089,81,39,45,56,Pass
S0090,43,48,62,41,Pass
S0091,93,87,46,87,Pass
S0092,68,30,88,39,Pass
S0093,57,98,39,87,Pass
S0094,65,33,30,83,Pass
S0095,83,45,93,36,Pass
S0096,73,53,57,31,Fail
S0097,49,31,25,41,Fail
S0098,75,61,91,36,Pass
S0099,53,53,42,29,Fail
S0100,70,41,66,84,Pass
